country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime
AT,ITP-00539,VIP Oberkappel,False,-11.0,-33.0,Austria,Transmission,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0009,OGE,ITP-00539,VIP Oberkappel,,,Jun  5 2024  6:23PM
AT,UGS-00274,Haidach (AT) / Haidach USP (DE),False,-15.49162471,-34.0651452,Storage,Storage,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0010,bayernets,UGS-00274,HaidachUGS,,,Jun  5 2024  6:23PM
AT,UGS-00274,Haidach (AT) / Haidach USP (DE),False,-15.49162471,-34.0651452,Storage,Storage,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0010,bayernets,UGS-00274,HaidachUGS,,,Jun  5 2024  6:23PM
AT,UGS-00416,Haiming 2 7F,False,-12.83,-32.77,Storage,Storage,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0009,OGE,UGS-00050,Haiming 2 7F,,,Jun  5 2024  6:23PM
AT,UGS-00416,Haiming 2 7F,False,-12.83,-32.77,Storage,Storage,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0010,bayernets,UGS-00273,Haiming_2-7F/bn,,,Jun  5 2024  6:23PM
AT,UGS-00428,UGS RAG Storage Pool (AT),False,2.021472273,-34.34514576,Storage,Storage,AT,Austria,Austria,Transmission,AT,Austria,,,,,,,Jun  5 2024  6:23PM
AT,UGS-00427,UGS OMV Storage Pool (AT),False,0.969969976,-34.4148277,Austria,Transmission,AT,Austria,Storage,Storage,AT,Austria,AT-SSO-0002,OMV Gas Storage,UGS-00427,UGS OMV Storage Pool (AT),,,Jun  5 2024  6:23PM
AT,UGS-00476,Speicher Haiming 3-Haidach,False,-14.85,-35.03,Storage,Storage,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0009,OGE,UGS-00476,Speicher Haiming 3-Haidach,,,Jun  5 2024  6:23PM
AT,UGS-00427,UGS OMV Storage Pool (AT),False,0.969969976,-34.4148277,Storage,Storage,AT,Austria,Austria,Transmission,AT,Austria,,,,,,,Jun  5 2024  6:23PM
AT,UGS-00428,UGS RAG Storage Pool (AT),False,2.021472273,-34.34514576,Austria,Transmission,AT,Austria,Storage,Storage,AT,Austria,AT-SSO-0001,RAG,UGS-00428,UGS RAG Storage Pool (AT),,,Jun  5 2024  6:23PM
AT,VTP-00014,CEGH,False,-1.76,-36.7,Austria,Transmission,AT,Austria,Austria,Transmission,AT,Austria,AT-TSO-0003,TAG GmbH,VTP-00014,CEGH,,,Jun  5 2024  6:23PM
AT,VTP-00014,CEGH,False,-1.76,-36.7,Austria,Transmission,AT,Austria,Austria,Transmission,AT,Austria,,,,,,,Jun  5 2024  6:23PM
AT,VTP-00014,CEGH,False,-1.76,-36.7,Austria,Transmission,AT,Austria,Austria,Transmission,AT,Austria,AT-TSO-0001,GCA,VTP-00014,CEGH,,,Jun  5 2024  6:23PM
AT,VTP-00014,CEGH,False,-1.76,-36.7,Austria,Transmission,AT,Austria,Austria,Transmission,AT,Austria,,,,,,,Jun  5 2024  6:23PM
AT,ITP-00227,RC Lindau,False,-32.26,-39.1,Austria,Transmission,AT,Austria,Austria,Transmission,AT,Austria,AT-DSO-0001,Vorarlberger Erdgas,ITP-00227,RC Lindau,,,Jun  5 2024  6:23PM
LY,ITP-00074,Gela,False,-9.1,-75.04,Transmission,Transmission,LY,Libya,Italy,Transmission,IT,Italy,IT-TSO-0001,SNAM RETE GAS,ITP-00074,GELA,,,Jun  5 2024  6:23PM
RU,ITP-00024,Imatra,False,66.75,62.12,Transmission,Transmission,RU,Russia,Finland,Transmission,FI,Finland,FI-TSO-0003,Gasgrid Finland,ITP-00024,Imatra,,,Jun  5 2024  6:23PM
RU,ITP-00120,Greifswald,False,-13.01,11.65,Transmission,Transmission,RU,Russia,DE THE BZ,Transmission,DE,Germany,DE-TSO-0015,GOAL,ITP-00250,GREIFSWALD,,,Jun  5 2024  6:23PM
