,point_key,point_label,is_single_operator,point_tooltip,point_eic_code,control_point_type,tp_map_x,tp_map_y,point_type,commercial_type,import_from_country_key,import_from_country_label,has_virtual_point,virtual_point_key,virtual_point_label,has_data,is_planned,is_interconnection,is_import,infrastructure_key,infrastructure_label,is_cross_border,eu_crossing,is_invalid,is_macro_point,is_cam_relevant,is_pipe_in_pipe,is_cmp_relevant,id,data_set,url
54,DIS-00067,Aspley,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00067,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
55,DIS-00068,Asselby,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00068,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
56,DIS-00069,Audley (NW),0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00069,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
57,DIS-00070,Audley (WM),0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00070,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
58,DIS-00071,Austrey,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00071,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
59,DIS-00072,Aylesbeare,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00072,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
60,DIS-00073,Bacton,0,,?,O_P_INCOUN_IN_DIS_ExtEU,-75.45,1.17,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00073,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
61,DIS-00074,Baldersby,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00074,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
62,DIS-00075,Balgray,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00075,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
63,DIS-00076,Bathgate,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00076,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
